,date,month,year,name,f0,f1,f2,f3,f4,f5,f6,f7,distance0,distance1,distance2,distance3,distance4,distance5,distance6,distance7,xkcd0_BLUE,xkcd0_DARK GREEN,xkcd0_DARK PINK,xkcd0_DARK PURPLE,xkcd0_DARK RED,xkcd0_DARK YELLOW,xkcd0_GREEN,xkcd0_LIGHT BLUE,xkcd0_LIGHT GREEN,xkcd0_LIGHT PINK,xkcd0_LIGHT PURPLE,xkcd0_LIGHT RED,xkcd0_LIGHT YELLOW,xkcd0_ORANGE,xkcd0_PINK,xkcd0_PURPLE,xkcd0_RED,xkcd0_YELLOW,xkcd1_BLUE,xkcd1_DARK BLUE,xkcd1_DARK GREEN,xkcd1_DARK PINK,xkcd1_DARK PURPLE,xkcd1_DARK RED,xkcd1_DARK YELLOW,xkcd1_GREEN,xkcd1_LIGHT BLUE,xkcd1_LIGHT GREEN,xkcd1_LIGHT PINK,xkcd1_LIGHT PURPLE,xkcd1_LIGHT RED,xkcd1_LIGHT YELLOW,xkcd1_ORANGE,xkcd1_PINK,xkcd1_PURPLE,xkcd1_RED,xkcd1_YELLOW,xkcd2_BLUE,xkcd2_DARK BLUE,xkcd2_DARK GREEN,xkcd2_DARK PINK,xkcd2_DARK PURPLE,xkcd2_DARK RED,xkcd2_DARK YELLOW,xkcd2_GREEN,xkcd2_LIGHT BLUE,xkcd2_LIGHT GREEN,xkcd2_LIGHT PINK,xkcd2_LIGHT PURPLE,xkcd2_LIGHT RED,xkcd2_LIGHT YELLOW,xkcd2_ORANGE,xkcd2_PINK,xkcd2_PURPLE,xkcd2_RED,xkcd2_YELLOW,xkcd3_BLUE,xkcd3_DARK BLUE,xkcd3_DARK GREEN,xkcd3_DARK PINK,xkcd3_DARK PURPLE,xkcd3_DARK RED,xkcd3_DARK YELLOW,xkcd3_GREEN,xkcd3_LIGHT BLUE,xkcd3_LIGHT GREEN,xkcd3_LIGHT PINK,xkcd3_LIGHT PURPLE,xkcd3_LIGHT RED,xkcd3_LIGHT YELLOW,xkcd3_ORANGE,xkcd3_PINK,xkcd3_PURPLE,xkcd3_RED,xkcd3_YELLOW,xkcd4_BLUE,xkcd4_DARK BLUE,xkcd4_DARK GREEN,xkcd4_DARK PINK,xkcd4_DARK PURPLE,xkcd4_DARK RED,xkcd4_DARK YELLOW,xkcd4_GREEN,xkcd4_LIGHT BLUE,xkcd4_LIGHT GREEN,xkcd4_LIGHT PINK,xkcd4_LIGHT PURPLE,xkcd4_LIGHT RED,xkcd4_LIGHT YELLOW,xkcd4_ORANGE,xkcd4_PINK,xkcd4_PURPLE,xkcd4_RED,xkcd4_YELLOW,xkcd5_BLUE,xkcd5_DARK BLUE,xkcd5_DARK GREEN,xkcd5_DARK PINK,xkcd5_DARK PURPLE,xkcd5_DARK RED,xkcd5_DARK YELLOW,xkcd5_GREEN,xkcd5_LIGHT BLUE,xkcd5_LIGHT GREEN,xkcd5_LIGHT PINK,xkcd5_LIGHT PURPLE,xkcd5_LIGHT RED,xkcd5_LIGHT YELLOW,xkcd5_ORANGE,xkcd5_PINK,xkcd5_PURPLE,xkcd5_RED,xkcd5_YELLOW,xkcd6_BLUE,xkcd6_DARK GREEN,xkcd6_DARK PINK,xkcd6_DARK PURPLE,xkcd6_DARK RED,xkcd6_DARK YELLOW,xkcd6_GREEN,xkcd6_LIGHT BLUE,xkcd6_LIGHT GREEN,xkcd6_LIGHT PINK,xkcd6_LIGHT PURPLE,xkcd6_LIGHT RED,xkcd6_LIGHT YELLOW,xkcd6_ORANGE,xkcd6_PINK,xkcd6_PURPLE,xkcd6_RED,xkcd6_YELLOW,xkcd7_BLUE,xkcd7_DARK BLUE,xkcd7_DARK GREEN,xkcd7_DARK PINK,xkcd7_DARK PURPLE,xkcd7_DARK RED,xkcd7_DARK YELLOW,xkcd7_GREEN,xkcd7_LIGHT BLUE,xkcd7_LIGHT GREEN,xkcd7_LIGHT PINK,xkcd7_LIGHT PURPLE,xkcd7_LIGHT RED,xkcd7_LIGHT YELLOW,xkcd7_ORANGE,xkcd7_PINK,xkcd7_PURPLE,xkcd7_RED,xkcd7_YELLOW,anna
0,1950-01-01,1,1950,19500101.jpg,56603,39176,14503,7215,7099,3956,3812,2036,98.53425800197614,49.234134500364675,43.289721643826724,85.30533394811839,91.61877536837086,90.60905032059436,64.41273166075166,53.99073994677236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-02-01,2,1950,19500201.jpg,48448,46259,19303,4585,4492,4218,3486,1089,97.06183596038144,35.440090293338706,92.2767576370128,47.21228653645151,48.43552415324934,86.46964785403027,29.5296461204668,79.5361553005927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1950-02-15,2,1950,19500215.jpg,47713,37210,11183,9965,9687,8399,4733,4670,91.81503144910424,89.40917178902845,54.598534778874786,75.69676347110224,86.84468895678076,89.56561840349232,86.81589716175259,86.46386528486914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1950-03-01,3,1950,19500301.jpg,46334,33020,27333,11025,5143,3673,3082,2270,45.88027898781785,83.0963296421689,63.58458932791813,87.55569655939013,85.22910301065006,43.42810150121693,50.49752469181039,71.55417527999327,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1950-03-15,3,1950,19500315.jpg,31224,29446,18703,17859,15900,8525,5916,4727,89.89438247187641,97.19053451854248,73.8850458482635,99.8548947222919,40.50925820105819,86.88498144098322,56.75385449465085,79.5361553005927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1950-04-01,4,1950,19500401.jpg,53384,31636,18050,15350,4718,2890,2317,2275,32.680269276736375,95.524865872714,90.47651629014015,41.484937025383076,62.84902544988267,55.14526271584895,101.43470806385751,45.18849411078001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1950-04-15,4,1950,19500415.jpg,30269,20363,19426,16231,16219,12980,11210,3922,93.01612763386787,95.81753492967766,96.83491106000976,98.24968193332741,44.19275958796871,66.40783086353596,99.93497886125758,80.78366171448283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1950-05-01,5,1950,19500501.jpg,46417,26376,18095,12150,9847,7474,6638,6143,87.65842800324451,43.874821936960615,92.63908462414771,80.34923770640266,76.70071707617863,89.9166280506559,94.33981132056604,87.28688332160795,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1950-05-15,5,1950,19500515.jpg,36455,24791,20052,16692,10206,10131,8708,6105,46.0760241340331,29.154759474226502,96.23408959407264,89.92218858546538,30.692018506445606,90.69178573608528,79.65550828411051,87.75534171775526,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1950-06-01,6,1950,19500601.jpg,50934,42106,13446,6290,6222,5298,3739,2165,81.10487038396646,43.977266854592045,90.1443287178955,88.46468221838589,79.26537705707328,95.35722311393093,71.02816342831905,96.07288899580358,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1950-07-01,7,1950,19500701.jpg,33011,23692,22700,19938,15492,9392,5288,4887,77.18808198161165,77.82030583337487,60.663003552412405,43.46262762420146,94.32921074619465,85.44588931013594,87.94316346368261,78.54934754662193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1950-08-01,8,1950,19500801.jpg,42777,30200,19428,15998,7019,6192,5325,3261,73.6070648783118,39.7240481320824,86.71793355471519,89.44830909525345,55.7584074378026,88.77499647986475,85.4049178911847,111.43159336561601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1950-08-15,8,1950,19500815.jpg,41108,37898,31328,5384,4730,3839,3711,3042,92.35799911215055,65.30696746902278,41.303752856126756,88.30628516702534,95.15250916292223,68.29348431585551,84.12490713219242,68.4178339323893,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
