date,month,year,name,r0,g0,b0,f0,r1,g1,b1,f1,r2,g2,b2,f2,r3,g3,b3,f3,r4,g4,b4,f4,r5,g5,b5,f5,r6,g6,b6,f6,r7,g7,b7,f7,color0,color1,color2,color3,color4,color5,color6,color7
1950-01-01,1,1950,19500101.jpg,131,131,120,56603,211,211,201,39176,45,45,45,14503,188,187,175,7215,100,83,78,7099,166,164,150,3956,200,199,191,3812,164,100,94,2036,[131 131 120],[211 211 201],[45 45 45],[188 187 175],[100  83  78],[166 164 150],[200 199 191],[164 100  94]
1950-02-01,2,1950,19500201.jpg,164,153,126,48448,225,219,207,46259,132,122,92,19303,217,210,195,4585,46,50,81,4492,195,183,161,4218,233,227,215,3486,144,71,54,1089,[164 153 126],[225 219 207],[132 122  92],[217 210 195],[46 50 81],[195 183 161],[233 227 215],[144  71  54]
1950-02-15,2,1950,19500215.jpg,102,83,52,47713,156,141,104,37210,62,56,42,11183,183,132,78,9965,141,108,64,9687,202,154,97,8399,204,188,153,4733,188,173,139,4670,[102  83  52],[156 141 104],[62 56 42],[183 132  78],[141 108  64],[202 154  97],[204 188 153],[188 173 139]
1950-03-01,3,1950,19500301.jpg,13,12,18,46334,197,184,169,33020,210,196,180,27333,167,142,128,11025,131,109,95,5143,34,31,32,3673,218,204,189,3082,85,70,62,2270,[13 12 18],[197 184 169],[210 196 180],[167 142 128],[131 109  95],[34 31 32],[218 204 189],[85 70 62]
1950-03-15,3,1950,19500315.jpg,127,113,108,31224,170,151,138,29446,198,190,180,18703,140,136,138,17859,37,38,43,15900,188,165,150,8525,209,200,191,5916,86,77,76,4727,[127 113 108],[170 151 138],[198 190 180],[140 136 138],[37 38 43],[188 165 150],[209 200 191],[86 77 76]
1950-04-01,4,1950,19500401.jpg,229,223,209,53384,108,106,101,31636,182,180,172,18050,221,215,200,15350,68,67,64,4718,211,205,190,2890,145,143,136,2317,28,30,33,2275,[229 223 209],[108 106 101],[182 180 172],[221 215 200],[68 67 64],[211 205 190],[145 143 136],[28 30 33]
1950-04-15,4,1950,19500415.jpg,172,167,161,30269,99,96,92,20363,120,115,110,19426,141,137,132,16231,45,46,45,16219,70,70,67,12980,157,152,146,11210,161,134,108,3922,[172 167 161],[99 96 92],[120 115 110],[141 137 132],[45 46 45],[70 70 67],[157 152 146],[161 134 108]
1950-05-01,5,1950,19500501.jpg,95,82,74,46417,51,45,42,26376,197,156,125,18095,141,109,81,12150,174,136,106,9847,110,103,106,7474,133,125,127,6638,188,178,165,6143,[95 82 74],[51 45 42],[197 156 125],[141 109  81],[174 136 106],[110 103 106],[133 125 127],[188 178 165]
1950-05-15,5,1950,19500515.jpg,54,47,41,36455,240,234,223,24791,161,149,128,20052,183,175,162,16692,230,223,212,10206,131,120,103,10131,91,76,63,8708,135,91,58,6105,[54 47 41],[240 234 223],[161 149 128],[183 175 162],[230 223 212],[131 120 103],[91 76 63],[135  91  58]
1950-06-01,6,1950,19500601.jpg,192,189,176,50934,46,44,41,42106,184,152,121,13446,181,177,164,6290,148,122,104,6222,160,157,146,5298,198,195,183,3739,99,89,77,2165,[192 189 176],[46 44 41],[184 152 121],[181 177 164],[148 122 104],[160 157 146],[198 195 183],[99 89 77]
1950-07-01,7,1950,19500701.jpg,91,73,57,33011,169,135,107,23692,211,197,183,22700,41,37,34,19938,173,161,148,15492,190,179,168,9392,190,151,120,5288,143,112,88,4887,[91 73 57],[169 135 107],[211 197 183],[41 37 34],[173 161 148],[190 179 168],[190 151 120],[143 112  88]
1950-08-01,8,1950,19500801.jpg,196,193,182,42777,37,37,43,30200,73,78,106,19428,182,178,167,15998,60,60,74,7019,129,111,90,6192,176,146,105,5325,132,141,147,3261,[196 193 182],[37 37 43],[ 73  78 106],[182 178 167],[60 60 74],[129 111  90],[176 146 105],[132 141 147]
1950-08-15,8,1950,19500815.jpg,174,164,150,41108,156,95,73,37898,44,43,46,31328,149,134,118,5384,107,103,98,4730,203,195,181,3839,193,186,171,3711,77,70,65,3042,[174 164 150],[156  95  73],[44 43 46],[149 134 118],[107 103  98],[203 195 181],[193 186 171],[77 70 65]
1950-09-01,9,1950,19500901.jpg,133,126,116,28718,155,134,98,27664,66,59,51,26449,147,139,125,15145,97,80,63,12129,40,39,41,10580,123,102,78,7458,163,154,138,6257,[133 126 116],[155 134  98],[66 59 51],[147 139 125],[97 80 63],[40 39 41],[123 102  78],[163 154 138]
1950-09-15,9,1950,19500915.jpg,125,104,91,46981,77,63,55,33448,160,71,63,18769,201,157,131,8883,158,153,150,7149,177,172,169,7065,184,125,106,6214,36,32,30,4211,[125 104  91],[77 63 55],[160  71  63],[201 157 131],[158 153 150],[177 172 169],[184 125 106],[36 32 30]
1950-10-01,10,1950,19501001.jpg,114,106,102,33250,188,188,183,26462,199,199,195,24184,148,135,127,23307,37,37,41,9158,78,70,64,8053,49,49,50,5804,179,158,146,4602,[114 106 102],[188 188 183],[199 199 195],[148 135 127],[37 37 41],[78 70 64],[49 49 50],[179 158 146]
1950-10-15,10,1950,19501015.jpg,65,59,54,21964,174,160,139,21874,101,78,60,17441,44,40,37,16490,124,97,73,16194,189,178,161,13231,156,131,101,12940,157,95,58,11326,[65 59 54],[174 160 139],[101  78  60],[44 40 37],[124  97  73],[189 178 161],[156 131 101],[157  95  58]
1950-11-01,11,1950,19501101.jpg,216,206,185,40894,123,102,77,22287,47,45,45,21698,196,185,154,12161,64,60,57,9936,92,78,63,9153,177,160,131,9002,154,133,106,6749,[216 206 185],[123 102  77],[47 45 45],[196 185 154],[64 60 57],[92 78 63],[177 160 131],[154 133 106]
1950-11-15,11,1950,19501115.jpg,218,214,201,53188,28,30,36,40672,83,83,89,16652,49,52,63,8390,227,222,209,5539,176,174,168,3065,131,130,126,2664,234,230,217,2550,[218 214 201],[28 30 36],[83 83 89],[49 52 63],[227 222 209],[176 174 168],[131 130 126],[234 230 217]
1950-12-01,12,1950,19501201.jpg,146,114,89,30655,124,93,71,21998,195,183,170,17882,177,151,131,17722,163,134,110,15811,37,34,33,15299,99,73,55,10747,185,165,148,4286,[146 114  89],[124  93  71],[195 183 170],[177 151 131],[163 134 110],[37 34 33],[99 73 55],[185 165 148]
1951-01-01,1,1951,19510101.jpg,119,117,109,52604,204,198,184,43397,167,159,146,24452,210,206,193,4160,81,73,64,2175,26,26,28,1795,216,212,200,1635,173,116,79,822,[119 117 109],[204 198 184],[167 159 146],[210 206 193],[81 73 64],[26 26 28],[216 212 200],[173 116  79]
1951-02-01,2,1951,19510201.jpg,215,203,182,57598,149,127,83,35011,204,193,173,27097,131,111,60,5410,224,210,189,3682,123,57,52,3211,192,171,138,3109,170,149,108,1802,[215 203 182],[149 127  83],[204 193 173],[131 111  60],[224 210 189],[123  57  52],[192 171 138],[170 149 108]
