date,month,year,name,r0,g0,b0,f0,r1,g1,b1,f1,r2,g2,b2,f2,r3,g3,b3,f3,r4,g4,b4,f4,r5,g5,b5,f5,r6,g6,b6,f6,r7,g7,b7,f7,color0,color1,color2,color3,color4,color5,color6,color7,xkcd0,xkcd1,xkcd2,xkcd3,xkcd4,xkcd5,xkcd6,xkcd7,distance0,distance1,distance2,distance3,distance4,distance5,distance6,distance7
1950-01-01,1,1950,19500101.jpg,131,131,120,56603,211,211,201,39176,45,45,45,14503,188,187,175,7215,100,83,78,7099,166,164,150,3956,200,199,191,3812,164,100,94,2036,[131 131 120],[211 211 201],[45 45 45],[188 187 175],[100  83  78],[166 164 150],[200 199 191],[164 100  94],DARK PINK,LIGHT PINK,DARK PURPLE,LIGHT PINK,DARK PURPLE,LIGHT GREEN,LIGHT PINK,DARK PINK,98.53425800197614,49.23413450036468,43.289721643826724,85.30533394811839,91.61877536837086,90.60905032059435,64.41273166075166,53.99073994677235
1950-02-01,2,1950,19500201.jpg,164,153,126,48448,225,219,207,46259,132,122,92,19303,217,210,195,4585,46,50,81,4492,195,183,161,4218,233,227,215,3486,144,71,54,1089,[164 153 126],[225 219 207],[132 122  92],[217 210 195],[46 50 81],[195 183 161],[233 227 215],[144  71  54],LIGHT GREEN,LIGHT PINK,DARK PINK,LIGHT PINK,DARK PURPLE,PINK,LIGHT PINK,DARK PINK,97.06183596038146,35.4400902933387,92.27675763701279,47.21228653645151,48.43552415324934,86.46964785403026,29.5296461204668,79.5361553005927
1950-02-15,2,1950,19500215.jpg,102,83,52,47713,156,141,104,37210,62,56,42,11183,183,132,78,9965,141,108,64,9687,202,154,97,8399,204,188,153,4733,188,173,139,4670,[102  83  52],[156 141 104],[62 56 42],[183 132  78],[141 108  64],[202 154  97],[204 188 153],[188 173 139],DARK PURPLE,DARK PINK,DARK PURPLE,DARK PINK,DARK PINK,DARK PINK,LIGHT GREEN,LIGHT GREEN,91.81503144910424,89.40917178902845,54.59853477887479,75.69676347110224,86.84468895678077,89.56561840349231,86.81589716175259,86.46386528486914
1950-03-01,3,1950,19500301.jpg,13,12,18,46334,197,184,169,33020,210,196,180,27333,167,142,128,11025,131,109,95,5143,34,31,32,3673,218,204,189,3082,85,70,62,2270,[13 12 18],[197 184 169],[210 196 180],[167 142 128],[131 109  95],[34 31 32],[218 204 189],[85 70 62],DARK GREEN,LIGHT PINK,LIGHT PINK,DARK PINK,DARK PINK,DARK PURPLE,LIGHT PINK,DARK PURPLE,45.880278987817846,83.09632964216891,63.58458932791813,87.55569655939013,85.22910301065006,43.42810150121693,50.49752469181039,71.55417527999327
1950-03-15,3,1950,19500315.jpg,127,113,108,31224,170,151,138,29446,198,190,180,18703,140,136,138,17859,37,38,43,15900,188,165,150,8525,209,200,191,5916,86,77,76,4727,[127 113 108],[170 151 138],[198 190 180],[140 136 138],[37 38 43],[188 165 150],[209 200 191],[86 77 76],DARK PINK,DARK PINK,LIGHT PINK,DARK PINK,DARK PURPLE,PINK,LIGHT PINK,DARK PURPLE,89.89438247187641,97.19053451854249,73.8850458482635,99.8548947222919,40.50925820105819,86.88498144098322,56.753854494650845,79.5361553005927
1950-04-01,4,1950,19500401.jpg,229,223,209,53384,108,106,101,31636,182,180,172,18050,221,215,200,15350,68,67,64,4718,211,205,190,2890,145,143,136,2317,28,30,33,2275,[229 223 209],[108 106 101],[182 180 172],[221 215 200],[68 67 64],[211 205 190],[145 143 136],[28 30 33],LIGHT PINK,PURPLE,LIGHT GREEN,LIGHT PINK,DARK PURPLE,LIGHT PINK,DARK PINK,DARK PURPLE,32.68026927673638,95.524865872714,90.47651629014017,41.48493702538308,62.849025449882674,55.14526271584895,101.43470806385751,45.18849411078001
1950-04-15,4,1950,19500415.jpg,172,167,161,30269,99,96,92,20363,120,115,110,19426,141,137,132,16231,45,46,45,16219,70,70,67,12980,157,152,146,11210,161,134,108,3922,[172 167 161],[99 96 92],[120 115 110],[141 137 132],[45 46 45],[70 70 67],[157 152 146],[161 134 108],LIGHT GREEN,PURPLE,PURPLE,DARK PINK,DARK PURPLE,DARK PURPLE,LIGHT GREEN,DARK PINK,93.01612763386788,95.81753492967766,96.83491106000976,98.2496819333274,44.19275958796871,66.40783086353596,99.93497886125758,80.78366171448283
1950-05-01,5,1950,19500501.jpg,95,82,74,46417,51,45,42,26376,197,156,125,18095,141,109,81,12150,174,136,106,9847,110,103,106,7474,133,125,127,6638,188,178,165,6143,[95 82 74],[51 45 42],[197 156 125],[141 109  81],[174 136 106],[110 103 106],[133 125 127],[188 178 165],DARK PURPLE,DARK PURPLE,PINK,DARK PINK,DARK PINK,PURPLE,DARK PINK,PINK,87.65842800324451,43.87482193696061,92.63908462414771,80.34923770640266,76.70071707617863,89.9166280506559,94.33981132056604,87.28688332160795
1950-05-15,5,1950,19500515.jpg,54,47,41,36455,240,234,223,24791,161,149,128,20052,183,175,162,16692,230,223,212,10206,131,120,103,10131,91,76,63,8708,135,91,58,6105,[54 47 41],[240 234 223],[161 149 128],[183 175 162],[230 223 212],[131 120 103],[91 76 63],[135  91  58],DARK PURPLE,LIGHT PINK,DARK PINK,LIGHT GREEN,LIGHT PINK,DARK PINK,DARK PURPLE,DARK PINK,46.07602413403309,29.154759474226502,96.23408959407264,89.92218858546538,30.692018506445613,90.69178573608527,79.65550828411052,87.75534171775527
1950-06-01,6,1950,19500601.jpg,192,189,176,50934,46,44,41,42106,184,152,121,13446,181,177,164,6290,148,122,104,6222,160,157,146,5298,198,195,183,3739,99,89,77,2165,[192 189 176],[46 44 41],[184 152 121],[181 177 164],[148 122 104],[160 157 146],[198 195 183],[99 89 77],LIGHT PINK,DARK PURPLE,DARK PINK,LIGHT GREEN,DARK PINK,LIGHT GREEN,LIGHT PINK,DARK PURPLE,81.10487038396646,43.977266854592045,90.1443287178955,88.46468221838589,79.26537705707328,95.35722311393091,71.02816342831905,96.0728889958036
